timestamp	EasyScale_{homo}	EasyScale_{heter}
0	0	0
60	1	1
120	2	2
180	5	4
240	2	2
300	4	4
360	4	6
420	4	6
480	7	9
540	10	12
600	14	19
660	27	24
720	38	35
780	42	36
840	44	51
900	38	54
960	41	60
1020	34	52
1080	34	57
1140	32	56
1200	36	59
1260	40	60
1320	41	63
1380	42	63
1440	38	63
1500	45	58
1560	50	59
1620	46	60
1680	52	61
1740	48	61
1800	49	63
1860	42	64
1920	44	64
1980	48	64
2040	32	63
2100	32	64
2160	32	64
2220	32	64
2280	32	41
2340	32	53
2400	32	64
2460	32	64
2520	32	64
2580	25	63
2640	32	64
2700	31	62
2760	32	64
2820	32	63
2880	32	48
2940	32	58
3000	31	60
3060	32	63
3120	32	64
3180	32	51
3240	32	58
3300	32	63
3360	32	64
3420	32	62
3480	32	64
3540	32	62
3600	32	57
3660	32	58
3720	32	58
3780	32	60
3840	32	61
3900	32	58
3960	32	55
4020	32	57
4080	33	37
4140	34	51
4200	36	54
4260	40	60
4320	48	62
4380	32	62
4440	32	58
4500	32	58
4560	32	58
4620	32	39
4680	32	40
4740	33	42
4800	34	46
4860	36	52
4920	40	57
4980	48	33
5040	48	42
5100	48	60
5160	48	40
5220	32	56
5280	32	34
5340	32	45
5400	32	39
5460	32	40
5520	32	6
5580	32	6
5640	32	6
5700	32	6
5760	32	6
5820	32	6
5880	32	6
5940	32	6
6000	32	6
6060	32	0
6120	32	0
6180	32	0
6240	32	0
6300	32	0
6360	32	0
6420	32	0
6480	32	0
6540	32	0
6600	32	0
6660	32	0
6720	32	0
